Subject,Content,Spam
Meeting Reminder,"Hi team, just a friendly reminder that we have a team meeting tomorrow at 10 AM in the conference room. We'll be discussing the progress of our current project and any roadblocks we've encountered. Please come prepared with your updates. See you there!",Non-Spam
Vacation Request,"Dear HR Department, I hope this email finds you well. I would like to request vacation leave for the period of June 1st to June 10th. I have made all the necessary arrangements to ensure that my work is covered during my absence. If there are any additional forms or procedures I need to complete, please let me know. Thank you for your attention to this matter.",Non-Spam
Product Feedback,"Hello, I recently purchased your product and wanted to provide some feedback. Overall, I am satisfied with the quality and functionality. However, I noticed a minor issue with the user interface that could be improved. Additionally, I have a suggestion for a new feature that I believe would greatly enhance the product. I would be happy to provide more detailed feedback if needed. Thank you for considering my input.",Non-Spam
Warranty,"Your car's extended wARranty is available now!!!!!!!!",Spam
DEALS,"You want crazy tech deals? Click this link",Spam
Urgent: Claim Your Prize Now!,"Dear Valued Customer, Congratulations! You have been selected as the lucky winner of our exclusive prize giveaway. You have won a luxurious vacation package to an exotic destination worth $10,000! To claim your prize, simply click on the link below and provide your personal details. Hurry, this offer is time-limited, and you don't want to miss out on this incredible opportunity! Click here to claim your prize: [Spam Link]. Please be aware that this email has been sent to a select group of recipients. Act now to secure your prize and embark on the vacation of a lifetime! Best regards, The Prize Giveaway Team",Spam
Event Invitation,"Dear friends, We are excited to invite you to our annual charity event on June 15th. The event will feature live music, delicious food, and various entertainment activities. We hope to raise funds for a worthy cause, and your presence would mean a lot to us. Please RSVP by May 30th so we can make the necessary arrangements. We look forward to seeing you there!",Non-Spam
	 
 	
	
